161102 14:43:16	   10 Query	SELECT  `shoppe_product_categories`.* FROM `shoppe_product_categories` INNER JOIN `shoppe_product_category_translations` ON `shoppe_product_category_translations`.`shoppe_product_category_id` = `shoppe_product_categories`.`id` WHERE `shoppe_product_category_translations`.`permalink` = 'network-eqipment' AND `shoppe_product_category_translations`.`locale` = 'en'  ORDER BY `shoppe_product_categories`.`id` ASC LIMIT 1
		   10 Query	SELECT `shoppe_product_category_translations`.* FROM `shoppe_product_category_translations` WHERE `shoppe_product_category_translations`.`shoppe_product_category_id` IN (3)
		   10 Query	SELECT  `shoppe_products`.* FROM `shoppe_products` INNER JOIN `shoppe_product_translations` ON `shoppe_product_translations`.`shoppe_product_id` = `shoppe_products`.`id` INNER JOIN `shoppe_product_categorizations` ON `shoppe_products`.`id` = `shoppe_product_categorizations`.`product_id` WHERE `shoppe_product_categorizations`.`product_category_id` = 3 AND `shoppe_product_translations`.`permalink` = 'tp1' AND `shoppe_product_translations`.`locale` = 'en' AND `shoppe_products`.`active` = 1  ORDER BY `shoppe_products`.`id` ASC LIMIT 1
		   10 Query	SELECT `shoppe_product_translations`.* FROM `shoppe_product_translations` WHERE `shoppe_product_translations`.`shoppe_product_id` IN (12)
		   10 Query	SHOW FULL FIELDS FROM `shoppe_product_attributes`
		   10 Query	SELECT `shoppe_product_attributes`.* FROM `shoppe_product_attributes` WHERE `shoppe_product_attributes`.`product_id` = 12 AND `shoppe_product_attributes`.`public` = 1  ORDER BY `shoppe_product_attributes`.`position` ASC
		   10 Query	SELECT  `shoppe_product_categories`.* FROM `shoppe_product_categories` INNER JOIN `shoppe_product_categorizations` ON `shoppe_product_categories`.`id` = `shoppe_product_categorizations`.`product_category_id` WHERE `shoppe_product_categorizations`.`product_id` = 12  ORDER BY `shoppe_product_categories`.`id` ASC LIMIT 1
		   10 Query	SELECT `shoppe_product_category_translations`.* FROM `shoppe_product_category_translations` WHERE `shoppe_product_category_translations`.`shoppe_product_category_id` = 3
		   10 Query	SELECT  `shoppe_attachments`.* FROM `shoppe_attachments` WHERE `shoppe_attachments`.`parent_id` = 12 AND `shoppe_attachments`.`parent_type` = 'Shoppe::Product' AND `shoppe_attachments`.`role` = 'default_image'  ORDER BY `shoppe_attachments`.`id` ASC LIMIT 1
		   10 Query	SELECT  1 AS one FROM `shoppe_products` WHERE `shoppe_products`.`parent_id` = 12 LIMIT 1
		   10 Query	SELECT `shoppe_products`.* FROM `shoppe_products` WHERE `shoppe_products`.`parent_id` = 12
